_id,X,Y,ObjectID,Loc_name,Status,Score,Match_type,Match_addr,User_fld,Addr_type,Side,ARC_Street,ARC_City,ARC_State,ARC_ZIP,AffidavitID,County,CDSCode,School,Street,City,State,Zip,MailingStreet,MailingCity,MailingState,MailingZip,Telephone,Email,Email2,PublicDistrict,SiteAdministratorSalutation,SiteAdministratorFirstName,SiteAdministratorLastName,SiteAdministratorTitle,SiteAdministratorEmail,SchoolType,SchoolAccommodations,LowGrade,HighGrade,KindergartenEnrollment,Grade1Enrollment,Grade2Enrollment,Grade3Enrollment,Grade4Enrollment,Grade5Enrollment,Grade6Enrollment,Grade7Enrollment,Grade8Enrollment,Grade9Enrollment,Grade10Enrollment,Grade11Enrollment,Grade12Enrollment,UngradedElementaryEnrollmnet,UngradedSecondaryEnrollment,TotalEnrollment,DiplomaOffered,Graduates2015_16,FullTimeTeachers,PartTimeTeachers,AdministrativeStaff,OtherStaff,OffersSpecialEducationServices,TaxExempt501,TaxExempt23701,TaxExempt214,TaxExempt,ReligiousClassification,ReligiousDenomination,Director_PrincipalOfficerSaluta,Director_PrincipalOfficerFirstN,Director_PrincipalOfficerLastNa,Director_PrincipalOfficerTitle,Director_PrincipalOfficerEmail,CustodianofRecordsSalutation,CustodianofRecordsFirstName,CustodianofRecordsLastName,CustodianofRecordsEmail
1,-13602822.8203609,4545368.38046681,1,parcels,M,100,A,"1034 66TH AVE, OAKLAND, CA 94621",0,Address,,1034 66th Avenue,Oakland,CA,94621,212939,Alameda,01612597082266,Acts Christian Academy,1034 66th Avenue,Oakland,CA,94621,,,,,510-568-3333,actschristian.academy@yahoo.com,drlimbrick@actsfullgospel.org,Oakland Unified,Dr.,Doris,Limbrick,Principal,limbrickdoris@icloud.com,Coeducational,Day Only,K,8,27,26,19,14,13,7,13,11,6,0,0,0,0,0,0,136,No,0,7,2,1,6,No,Yes,No,No,Yes,Religious,Other,Dr.,Doris,Limbrick,Principal,limbrickdoris@icloud.com,Ms.,Danielle,Celestino,actschristian.academy@yahoo.com
2,-13607053.0666532,4548822.75468719,2,parcels,M,100,A,"2372 INTERNATIONAL BLVD, OAKLAND, CA 94601",0,Address,,2372 International Boulevard,Oakland,CA,94601,206402,Alameda,01612596910343,Agnes Memorial Christian Academey,2372 International Boulevard,Oakland,CA,94601,,,,,510-533-1101,,,Oakland Unified,Ms.,Sandra,Phelps,Director,sandybeaches84@yahoo.com,Coeducational,Day Only,K,8,2,1,3,4,1,1,0,0,1,0,0,0,0,2,0,15,No,0,2,0,1,2,No,Yes,No,No,Yes,,,Ms.,Sandra,phelps,Administrator,,Ms.,Sandra,Phelps,sandybeaches84@yahoo.com
3,-13589445.4193387,4533266.58354686,3,parcels,M,100,A,"22870 2ND ST, HAYWARD, CA 94541",0,Address,,22870 Second Street,Hayward,CA,94541,196133,Alameda,01611926965909,All Saints Catholic School,22870 Second Street,Hayward,CA,94541,,,,,510-582-1910,jdiaz@csdo.org,,Hayward Unified,Mrs.,Rosanne,Esplanada,Administrator,resplanada@csdo.org,Coeducational,Day Only,K,8,30,21,25,16,17,21,32,22,19,0,0,0,0,0,0,203,No,0,11,3,1,12,No,Yes,No,No,Yes,Religious,Roman Catholic,Ms.,Jennifer,Diaz,Principal,jdiaz@csdo.org,Ms.,Susan,Porter,sporter@csdo.org
4,-13571381.3173615,4513563.93419103,4,parcels,M,100,A,"750 WITHERLY LN, FREMONT, CA 94539",0,Address,,750 Witherly Lane,Fremont,CA,94539,191396,Alameda,01611767103799,Alsion Montessori Middle/High,750 Witherly Lane,Fremont,CA,94539,,,,94539,510-445-8878,info@alsion.org,,Fremont Unified,Ms.,Rosemary,Petersen,Head of School,msrosemary@alsionschool.org,Coeducational,Day Only,7,12,0,0,0,0,0,0,0,20,14,14,5,7,8,0,0,68,No,6,7,1,1,1,No,Yes,No,No,Yes,Non-religious,,Mr.,Timothy,Reilly,Other,info@alsion.org,Ms.,Yvonne,Chavez,msyvonne@alsionschool.org
5,-13611110.2108034,4557865.27145353,5,streets,M,100,A,"3339 MARTIN LUTHER KING JR WAY, Berkeley, CA, 94703",,Address,R,3339 Martin Luther King Jr. Way,Berkeley,CA,94703,193389,Alameda,01611436135743,American International Montessori School,3339 Martin Luther King Jr. Way,Berkeley,CA,94703,,,,,510-868-1815,office@AIMmontessori.com,,Berkeley Unified,Mr.,Ernest,Mahr,Director,office@AIMmontessori.com,Coeducational,Day Only,K,6,11,12,5,3,5,1,0,0,0,0,0,0,0,0,0,37,No,0,14,5,2,6,No,No,No,No,No,Non-religious,,Mr.,Ernest,Mahr,Director,office@AIMmontessori.com,Mr.,Ernest,Mahr,office@AIMmontessori.com
6,-13590914.4555706,4537947.93438476,6,parcels,M,92.5,A,"19234 LAKE CHABOT RD, CASTRO VALLEY, CA 94546",0,Address,,19234 Lake Chabot Road,Castro Valley,CA,94577,196390,Alameda,01611506133441,"Anchor Education, Inc. dba Sterling West -- San Francisco Campus",19234 Lake Chabot Road,Castro Valley,CA,94577,PO Box 368,San Leandro,CA,94546,510-300-6290,jacqueline.holt@sterlinged.org,,Castro Valley Unified,Mr.,Gerard,Hewison,Administrator,gerard.hewison@ubteam.com,Coeducational,Day Only,3,12,0,0,0,2,8,1,5,1,1,3,1,1,2,0,0,25,No,2,3,0,0,1,Yes,Yes,Yes,Yes,Yes,Non-religious,,Mr.,Stuart,Fussell,Director,stuart.fussell@sterling.education,Mrs.,Jacqueline,Holt,jacqueline.holt@sterling.education
7,-13596228.6648292,4539922.5287203,7,streets,M,100,A,"1851 136TH AVE, San Leandro, CA, 94578",,Address,L,1851 136th Avenue,San Leandro,CA,94578,193423,Alameda,01612916972574,Assumption,1851 136th Avenue,San Leandro,CA,94578,,,,,510-357-8772,jpetersen@csdo.org,lshahab@csdo.org,San Leandro Unified,Mr.,Joseph,Petersen,Principal,jpetersen@csdo.org,Coeducational,Day Only,K,8,19,32,27,28,30,31,32,33,27,0,0,0,0,0,0,259,No,0,12,6,1,19,No,Yes,No,No,Yes,Religious,Roman Catholic,Fr.,Larry,Young,Superintendent,lyoung@csdo.org,Ms.,Alana,Seto,aseto@csdo.org
8,-13606753.2787004,4556814.20407526,8,streets,M,100,A,"40 DULWICH RD, Oakland, CA, 94618",,Address,R,40 Dulwich Road,Oakland,CA,94618,200780,Alameda,01612597071632,Aurora School,40 Dulwich Road,Oakland,CA,94618,,,,,510-428-2606,darlene@auroraschool.org,,Oakland Unified,Mrs.,Darlene,Richard,Administrator,darlene@auroraschool.org,Coeducational,Day Only,K,5,20,25,13,17,17,13,0,0,0,0,0,0,0,0,0,105,No,0,6,6,5,11,No,Yes,No,No,Yes,Non-religious,,Ms.,Abbie,Koss,Head of School,abbie@auroraschool.org,Mrs.,Darlene,Richard,darlene@auroraschool.org
9,-13574979.8675111,4511892.02090596,9,streets,M,100,A,"43174 OSGOOD RD, Fremont, CA, 94539",,Address,R,43174 Osgood Road,Fremont,CA,94539,213206,Alameda,01611766142459,Averroes High School,43174 Osgood Road,Fremont,CA,94539,,,,,510-580-4566,info@averroesinstitute.com,info@averroesinstitute.com,Fremont Unified,Ms.,Reem,Bilbeisi,Director,reem@averroesinstitute.com,Coeducational,Day Only,9,12,0,0,0,0,0,0,0,0,0,16,15,12,10,0,0,53,Yes,11,5,4,2,4,No,Yes,No,No,Yes,Religious,Islamic,Mrs.,Reem,Bilbeisi,Principal,reem@averroesinstitute.com,Mrs.,Nejat,Romodan,Nejat@averroesinstitute.com
10,-13578169.5932685,4515726.69974544,10,parcels,M,100,A,"3300 KEARNEY ST, FREMONT, CA 94538",0,Address,,3300 Kearney Street,Fremont,CA,94538,201650,Alameda,01611766152276,BASIS Independent Fremont,3300 Kearney Street,Fremont,CA,94538,,,,,510-573-3435,keran.bal@basised.com,,Fremont Unified,Dr.,Ashley,Leyba,Head of School,ashley.leyba@basised.com,Coeducational,Day Only,K,5,22,24,12,13,23,32,0,0,0,0,0,0,0,0,0,126,No,0,20,0,12,0,No,No,No,No,No,Non-religious,,Ms.,Keran,Bal,Administrator,,Mrs.,Elizabeth,Coackley,anne.coackley@basised.com
